Fecha,pH (suelo),Humedad (%) ,Temperatura (°C) (media diaria),Altura acumulada (cm)
2025-08-01,4.91,45.8,13.1,12.053
2025-08-02,4.88,37.6,16,12.1
2025-08-03,4.87,49.4,15.3,12.151
2025-08-04,4.85,44.4,14.4,12.199
2025-08-05,4.86,35.3,14.2,12.241
2025-08-06,4.87,38.7,13.3,12.295
2025-08-07,4.9,47.5,12.3,12.365
2025-08-08,4.87,33.6,15.6,12.391
2025-08-09,4.87,36,14.2,12.44
2025-08-10,4.84,33.1,14.8,12.47
2025-08-11,4.82,45.6,13.7,12.52
2025-08-12,4.82,36.5,11.1,12.574
2025-08-13,4.8,47.6,15.2,12.636
2025-08-14,4.78,31.2,15.4,12.662
2025-08-15,4.79,31.7,13.4,12.696
2025-08-16,4.79,45.2,14.8,12.751
2025-08-17,4.77,39.5,13.7,12.795
2025-08-18,4.78,47.4,13.1,12.854
2025-08-19,4.8,40.8,14.6,12.897
2025-08-20,4.77,36.2,16,12.946
2025-08-21,4.78,38.8,13.6,12.988
2025-08-22,4.8,34.5,12.7,13.017
2025-08-23,4.79,34.6,12.1,13.052
2025-08-24,4.77,42.6,12.1,13.105
2025-08-25,4.79,47.2,11.4,13.165
2025-08-26,4.78,43.4,12.1,13.207
2025-08-27,4.76,48.7,13.9,13.276
2025-08-28,4.74,45.7,15,13.333
2025-08-29,4.76,31.9,13.2,13.364
2025-08-30,4.76,39.3,14.6,13.414
2025-08-31,4.78,49.7,11.5,13.48
2025-09-01,4.8,37.2,15.3,13.524
2025-09-02,4.8,33.1,13.2,13.555
2025-09-03,4.83,35.5,12.2,13.609
2025-09-04,4.83,40,15.3,13.657
2025-09-05,4.83,29.4,16,13.684
2025-09-06,4.85,54.2,15.6,13.767
2025-09-07,4.86,32.5,13.4,13.8
2025-09-08,4.89,38.8,11.3,13.846
2025-09-09,4.89,54.6,12.3,13.927
2025-09-10,4.91,40.3,13.1,13.982
2025-09-11,4.88,54.9,13.8,14.06
2025-09-12,4.87,32.2,12.5,14.086
2025-09-13,4.86,43.6,13.7,14.137
2025-09-14,4.83,29.5,13.9,14.167
2025-09-15,4.82,51,11.8,14.255
2025-09-16,4.8,30.2,11.9,14.284
2025-09-17,4.79,46.2,12.2,14.339
2025-09-18,4.8,52,12.2,14.413
2025-09-19,4.79,44.7,13.1,14.462
2025-09-20,4.78,42.1,15.7,14.505
2025-09-21,4.77,47.3,12.2,14.571
2025-09-22,4.76,46.1,12.5,14.633
2025-09-23,4.79,48.3,11.4,14.702
2025-09-24,4.8,55,16,14.755
2025-09-25,4.8,33.8,12.3,14.78
2025-09-26,4.79,51.8,15.4,14.845
2025-09-27,4.8,32.3,15.2,14.873
2025-09-28,4.78,44.5,15.9,14.923
2025-09-29,4.78,28.2,15.1,14.955
2025-09-30,4.81,45.9,15.7,15.01
2025-10-01,4.82,37.9,11.5,15.059
2025-10-02,4.82,41.8,14,15.109
2025-10-03,4.83,40.1,14.2,15.153
2025-10-04,4.85,47.2,15.5,15.237
2025-10-05,4.87,37.3,13.1,15.281
2025-10-06,4.85,35.1,14.9,15.331
2025-10-07,4.82,41.5,14.7,15.379
2025-10-08,4.81,45.7,11,15.432
2025-10-09,4.79,57.1,15.5,15.504
2025-10-10,4.77,55.9,13.9,15.56
2025-10-11,4.8,38.2,12.5,15.613
2025-10-12,4.82,54.9,15.3,15.699
2025-10-13,4.81,40.3,12.2,15.741
2025-10-14,4.82,54.5,15.4,15.807
2025-10-15,4.81,50.5,11.8,15.894
2025-10-16,4.83,56.6,15.9,15.977
2025-10-17,4.83,57,11.1,16.056
2025-10-18,4.82,43.3,15.7,16.108
2025-10-19,4.8,56.6,15.1,16.169
2025-10-20,4.8,54.7,11.5,16.254
2025-10-21,4.79,56.5,12.1,16.336
2025-10-22,4.79,46.5,12.5,16.418
2025-10-23,4.81,40.7,11.1,16.461
2025-10-24,4.81,43.2,15.3,16.516
2025-10-25,4.79,42,14.2,16.562
2025-10-26,4.82,59.5,13.7,16.649
2025-10-27,4.82,37.9,15.9,16.692
2025-10-28,4.79,59.1,12.3,16.746
2025-10-29,4.76,45.9,14.6,16.809
2025-10-30,4.74,50.2,13.6,16.874
2025-10-31,4.75,49.4,12.3,16.952
